,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
215,19-3093.00,Historians,0.65,1,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.",3.46,4.12,3.75,3.12,3.93,4.31,3.49,3.53
216,19-3094.00,Political Scientists,0.91,1,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decisionmaking, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents.",3.75,4.5,3.88,3.88,5.09,4.71,3.6,4.87
217,19-3099.01,Transportation Planners,0.9,1,"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations.",3.84,4.25,3.75,3.88,4.25,5.17,3.96,4.5
218,19-4012.00,Agricultural Technicians,0.61,1,"Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects.",3.34,4,3,3.5,4.19,4.35,3.93,4.37
219,19-4012.01,Precision Agriculture Technicians,0.65,1,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather.",3.7,3.62,3.75,3.25,4.05,4.34,3.54,4.23
220,19-4013.00,Food Science Technicians,0.37,0,"Work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products. Includes technicians who assist in research and development of production technology, quality control, packaging, processing, and use of foods.",3.11,3.62,3.25,3,4.27,4.07,3.14,3.8
221,19-4021.00,Biological Technicians,0.77,1,"Assist biological and medical scientists. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, collect data and samples, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs.",3.75,4,3.88,3.5,3.79,4.18,3.63,4.13
222,19-4031.00,Chemical Technicians,0.64,1,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences.",3.73,4.12,3.25,3.12,4.08,3.79,3.49,4.08
223,19-4042.00,"Environmental Science and Protection Technicians, Including Health",0.57,1,"Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing.",3.57,3.75,3.12,3.38,4.47,3.98,3,4.19
224,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",0.24,0,"Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in laboratory, exploration, and production activities to obtain data indicating resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes.",3.28,3.38,2.87,3,3.72,3.48,3.36,3.91
225,19-4051.00,Nuclear Technicians,0.5,0,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory, power generation, or electricity production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation.",3.38,3.62,3.12,3,4.07,3.79,2.48,3.99
226,19-4051.02,Nuclear Monitoring Technicians,0.62,1,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment.",3.68,4,3.12,3.12,4.5,4.23,2.87,3.66
227,19-4061.00,Social Science Research Assistants,0.6,1,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management.",3.32,3.88,3.62,3.12,4.12,4.02,3.05,4.02
228,19-4071.00,Forest and Conservation Technicians,0.4,0,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts under the direction of foresters, or train and lead forest workers in forest propagation and fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats.",3.3,3.38,3,3,3.85,4.63,3.29,3.7
229,19-4092.00,Forensic Science Technicians,0.76,1,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.",4.07,4,3.62,3.62,3.15,3.53,3.77,4.47
230,19-4099.01,Quality Control Analysts,0.45,0,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests.",3.36,3.62,3.12,3.25,3.7,3.11,2.87,4.38
231,19-4099.03,Remote Sensing Technicians,0.69,1,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.",3.75,3.88,3.5,3.38,4.34,4.38,3.74,4.22
232,19-5011.00,Occupational Health and Safety Specialists,0.84,1,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.",3.86,4.12,4,3.88,4.8,4.66,3.64,4.29
233,19-5012.00,Occupational Health and Safety Technicians,0.66,1,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers.",3.48,3.88,3.25,3.25,4.81,4.61,3.35,4.35
234,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,0.74,1,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs.",3.66,4.12,4,3.5,5.02,4.83,3.81,3.91
235,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",0.84,1,Advise and assist students and provide educational and vocational guidance services.,3.8,4,3.88,3.75,4.25,5.16,3.84,4.1
236,21-1013.00,Marriage and Family Therapists,0.87,1,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders.",3.98,4.25,4.25,4.12,3.54,4.16,3.79,4.19
237,21-1014.00,Mental Health Counselors,0.93,1,"Counsel and advise individuals and groups to promote optimum mental and emotional health, with an emphasis on prevention. May help individuals deal with a broad range of mental health issues, such as those associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; or aging.",4.43,4.5,4.12,3.75,3.85,4.41,3.43,3.95
238,21-1015.00,Rehabilitation Counselors,0.61,1,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",3.57,3.88,3.25,3.62,3.94,4.39,3.81,3.89
239,21-1021.00,"Child, Family, and School Social Workers",0.76,1,"Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.",3.65,4.25,3.75,3.5,3.6,4.25,3.29,3.53
240,21-1022.00,Healthcare Social Workers,0.81,1,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",3.91,4,4,3.88,3.39,4.29,3.56,3.88
241,21-1023.00,Mental Health and Substance Abuse Social Workers,0.83,1,"Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education.",4.13,4,3.88,4,4.42,4.83,3.43,3.69
242,21-1091.00,Health Education Specialists,0.67,1,"Provide and manage health education programs that help individuals, families, and their communities maximize and maintain healthy lifestyles. Use data to identify community needs prior to planning, implementing, monitoring, and evaluating programs designed to encourage healthy lifestyles, policies, and environments. May link health systems, health providers, insurers, and patients to address individual and population health needs. May serve as resource to assist individuals, other health professionals, or the community, and may administer fiscal resources for health education programs.",3.45,4,3.62,3,5.04,5.39,4.16,4.06
243,21-1092.00,Probation Officers and Correctional Treatment Specialists,0.64,1,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.",3.45,4,3.25,3.38,4.47,4.71,3.25,3.66
244,21-1093.00,Social and Human Service Assistants,0.58,1,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",3.45,4,3.25,3.12,3.11,3.83,3.6,3.8
245,21-1094.00,Community Health Workers,0.59,1,"Promote health within a community by assisting individuals to adopt healthy behaviors. Serve as an advocate for the health needs of individuals by assisting community residents in effectively communicating with healthcare providers or social service agencies. Act as liaison or advocate and implement programs that promote, maintain, and improve individual and overall community health. May deliver health-related preventive services such as blood pressure, glaucoma, and hearing screenings. May collect data to help identify community health needs.",3.43,3.75,3.62,3.5,4.28,4.85,4.32,4.07
246,21-2011.00,Clergy,0.79,1,Conduct religious worship and perform other spiritual functions associated with beliefs and practices of religious faith or denomination. Provide spiritual and moral guidance and assistance to members.,3.89,4.12,4.12,3.75,3.16,4.25,4.01,3.77
247,21-2021.00,"Directors, Religious Activities and Education",0.61,1,"Coordinate or design programs and conduct outreach to promote the religious education or activities of a denominational group. May provide counseling, guidance, and leadership relative to marital, health, financial, and religious problems.",3.44,3.88,3.75,3.75,3.96,5.33,4.05,3.03
248,23-1011.00,Lawyers,0.96,1,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.",3.98,4.88,4.25,4,4.97,4.82,3.35,4.64
249,23-1012.00,Judicial Law Clerks,0.83,1,Assist judges in court or by conducting research or preparing legal documents.,3.54,4.62,4.12,3.62,4.37,3.23,2.81,4.72
250,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.94,1,"Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",3.82,5.12,4.12,4,4.71,4.06,3.08,4.52
251,23-1022.00,"Arbitrators, Mediators, and Conciliators",0.89,1,Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,3.61,4.75,4,3.75,4.38,4.13,4.05,4.95
252,23-1023.00,"Judges, Magistrate Judges, and Magistrates",0.98,1,"Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies.",4,5.75,4.62,5,5.32,4.74,3.28,4.75
253,23-2011.00,Paralegals and Legal Assistants,0.31,0,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",3.11,3.5,3.25,3,4.32,3.98,2.95,3.59
254,23-2093.00,"Title Examiners, Abstractors, and Searchers",0.25,0,"Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies.",2.77,3.62,3.12,3,4.22,3.38,2.82,3.79
255,25-1011.00,"Business Teachers, Postsecondary",0.89,1,"Teach courses in business administration and management, such as accounting, finance, human resources, labor and industrial relations, marketing, and operations research. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.55,4.38,4.38,3.75,4.11,4.53,4.02,4.78
256,25-1021.00,"Computer Science Teachers, Postsecondary",0.91,1,"Teach courses in computer science. May specialize in a field of computer science, such as the design and function of computers or operations and research analysis. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.72,4.5,4.12,4,4.57,5.14,4.24,4.39
257,25-1022.00,"Mathematical Science Teachers, Postsecondary",0.83,1,"Teach courses pertaining to mathematical concepts, statistics, and actuarial science and to the application of original and standardized mathematical techniques in solving specific problems and situations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.59,4.12,4.12,3.62,3.24,4.04,3.78,4.7
258,25-1031.00,"Architecture Teachers, Postsecondary",0.95,1,"Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",4.07,4.38,4.5,4.25,4.38,5.34,4.08,4.6
259,25-1032.00,"Engineering Teachers, Postsecondary",0.89,1,"Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",4.04,4.12,4.12,3.38,4.96,5.41,4.35,4.87
260,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",0.9,1,"Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.82,4.12,4.5,3.88,4.29,5.34,4.42,4.6
261,25-1042.00,"Biological Science Teachers, Postsecondary",0.88,1,Teach courses in biological sciences. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.91,4.12,4.5,3.75,5.12,5.55,4.34,4.4
262,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",0.89,1,Teach courses in forestry and conservation science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.71,4.25,4.25,4,4.8,5.23,3.86,4.35
263,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.91,1,"Teach courses in the physical sciences, except chemistry and physics. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",4.05,4.25,4.25,3.88,4,4.64,3.94,4.57
264,25-1052.00,"Chemistry Teachers, Postsecondary",0.86,1,"Teach courses pertaining to the chemical and physical properties and compositional changes of substances. Work may include providing instruction in the methods of qualitative and quantitative chemical analysis. Includes both teachers primarily engaged in teaching, and those who do a combination of teaching and research.",3.9,4,4,4,4.08,4.62,4.19,4.8
265,25-1053.00,"Environmental Science Teachers, Postsecondary",0.86,1,Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.66,4.25,4.25,3.88,4.61,4.83,4.29,4.59
266,25-1054.00,"Physics Teachers, Postsecondary",0.96,1,Teach courses pertaining to the laws of matter and energy. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.88,4.88,4.38,4,4.48,5.06,3.82,4.46
267,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",0.93,1,Teach courses in anthropology or archeology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.93,4.25,4.38,3.88,4.66,5.16,3.95,4.92
268,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.84,1,"Teach courses pertaining to the culture and development of an area, an ethnic group, or any other group, such as Latin American studies, women's studies, or urban affairs. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.46,4.12,4,3.62,3.25,4.86,4.24,4.51
269,25-1063.00,"Economics Teachers, Postsecondary",0.83,1,Teach courses in economics. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.55,4.12,4.12,3.62,4.16,4.37,3.81,4.72
270,25-1064.00,"Geography Teachers, Postsecondary",0.79,1,Teach courses in geography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.64,4,4.12,3.75,4.72,4.88,4.12,4.39
271,25-1065.00,"Political Science Teachers, Postsecondary",0.83,1,"Teach courses in political science, international affairs, and international relations. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.39,4.12,4,4,4.6,5.12,4.21,4.62
272,25-1066.00,"Psychology Teachers, Postsecondary",0.91,1,"Teach courses in psychology, such as child, clinical, and developmental psychology, and psychological counseling. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.66,4.25,4.62,3.88,5.08,5.43,4.09,4.69
273,25-1067.00,"Sociology Teachers, Postsecondary",0.87,1,Teach courses in sociology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.5,4.12,4.38,3.75,5.08,5.27,3.7,4.69
274,25-1071.00,"Health Specialties Teachers, Postsecondary",0.87,1,"Teach courses in health specialties, in fields such as dentistry, laboratory technology, medicine, pharmacy, public health, therapy, and veterinary medicine.",3.68,4.12,4,4,4.23,4.95,3.61,4.24
275,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",0.88,1,Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.87,4.25,4,4,5.17,5.48,4.09,4.25
276,25-1081.00,"Education Teachers, Postsecondary",0.88,1,"Teach courses pertaining to education, such as counseling, curriculum, guidance, instruction, teacher education, and teaching English as a second language. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.61,4,4.25,4,4.42,4.91,3.61,4.76
277,25-1082.00,"Library Science Teachers, Postsecondary",0.84,1,Teach courses in library science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.62,4.12,4.38,3.75,4.83,5.06,4.06,4.35
278,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.79,1,"Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.43,4.12,4,3.75,3.88,4.66,3.56,3.94
279,25-1112.00,"Law Teachers, Postsecondary",0.96,1,Teach courses in law. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.96,4.88,4.75,3.75,4.56,4.83,3.69,4.64
280,25-1113.00,"Social Work Teachers, Postsecondary",0.92,1,Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.77,4.25,4.88,3.88,3.95,5.15,4.12,4.61
281,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",0.83,1,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.73,3.88,4.25,3.38,3.13,5.17,4.16,4.22
282,25-1122.00,"Communications Teachers, Postsecondary",0.79,1,"Teach courses in communications, such as organizational communications, public relations, radio/television broadcasting, and journalism. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.44,4.12,4.25,3.5,4.02,4.88,4.59,4.51
283,25-1123.00,"English Language and Literature Teachers, Postsecondary",0.87,1,"Teach courses in English language and literature, including linguistics and comparative literature. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.72,4,4,3.5,4.41,5.49,3.48,4.19
284,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",0.69,1,Teach languages and literature courses in languages other than English. Includes teachers of American Sign Language (ASL). Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.34,3.88,4,3.62,3.68,4.5,4.07,4.2
285,25-1125.00,"History Teachers, Postsecondary",0.75,1,Teach courses in human history and historiography. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.47,3.88,4,3.75,4.68,4.87,4.19,4.67
286,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",0.91,1,"Teach courses in philosophy, religion, and theology. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.5,4.25,4.38,3.75,4.05,4.98,3.54,4.8
287,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",0.76,1,"Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.43,4,4.12,3.25,3.83,4.49,3.77,4.36
288,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",0.76,1,"Teach courses pertaining to recreation, leisure, and fitness studies, including exercise physiology and facilities management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.41,4,4,3.38,4.38,4.86,3.91,4.34
289,25-1194.00,"Career/Technical Education Teachers, Postsecondary",0.61,1,"Teach vocational courses intended to provide occupational training below the baccalaureate level in subjects such as construction, mechanics/repair, manufacturing, transportation, or cosmetology, primarily to students who have graduated from or left high school. Teaching takes place in public or private schools whose primary business is academic or vocational education.",3.23,3.75,4,3.12,3.79,4.57,4.17,4.31
290,25-2011.00,"Preschool Teachers, Except Special Education",0.16,0,"Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.",3.2,3.12,3,3,2.03,3.01,4.12,3.61
291,25-2012.00,"Kindergarten Teachers, Except Special Education",0.57,1,Teach academic and social skills to kindergarten students.,3.41,3.75,3.12,3.12,3.51,4.74,4.18,4.09
292,25-2021.00,"Elementary School Teachers, Except Special Education",0.74,1,Teach academic and social skills to students at the elementary school level.,3.7,4,3.88,3.38,3.41,4.42,4.02,3.93
293,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",0.6,1,"Teach one or more subjects to students at the middle, intermediate, or junior high school level.",3.44,3.62,3.88,3.12,4.13,4.8,4.15,4.27
294,25-2023.00,"Career/Technical Education Teachers, Middle School",0.54,1,"Teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level.",3.48,3.88,3.5,3,3.65,4.22,4.08,3.9
295,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",0.76,1,Teach one or more subjects to students at the secondary school level.,3.61,3.88,3.75,3.5,3.63,4.8,3.98,4.18
296,25-2032.00,"Career/Technical Education Teachers, Secondary School",0.77,1,"Teach occupational, vocational, career, or technical subjects to students at the secondary school level.",3.79,3.88,3.75,3.38,3.93,5.1,3.83,3.85
297,25-2051.00,"Special Education Teachers, Preschool",0.68,1,"Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.",3.75,3.88,3.75,3.38,3.42,4.12,4.1,4.1
298,25-2057.00,"Special Education Teachers, Middle School",0.72,1,"Teach academic, social, and life skills to middle school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.",3.75,3.88,3.88,3.12,4.29,4.71,4.18,4.31
299,25-2058.00,"Special Education Teachers, Secondary School",0.74,1,"Teach academic, social, and life skills to secondary school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.",3.68,4,3.88,3.25,4.47,4.92,3.76,3.9
300,25-2059.01,Adapted Physical Education Specialists,0.62,1,"Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.",3.59,3.88,3.88,3.38,3.61,4.36,4.29,3.86
301,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.4,0,"Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.",3.35,3.5,3.25,3,2.93,3.95,3.72,3.75
302,25-3021.00,Self-Enrichment Teachers,0.21,0,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness.",3.1,3.12,3.12,2.88,2.56,3.68,3.85,3.77
303,25-3041.00,Tutors,0.47,0,Instruct individual students or small groups of students in academic subjects to support formal class instruction or to prepare students for standardized or admissions tests.,3.27,3.62,3.5,3.25,2.78,3.81,3.38,3.62
304,25-4011.00,Archivists,0.66,1,"Appraise, edit, and direct safekeeping of permanent records and historically valuable documents. Participate in research activities based on archival materials.",3.5,3.88,3.25,3.12,4.37,4.71,3.19,3.94
305,25-4012.00,Curators,0.89,1,"Administer collections, such as artwork, collectibles, historic items, or scientific specimens of museums or other institutions. May conduct instructional, research, or public service activities of institution.",4.07,4.38,4.12,3.62,4.54,4.72,4.06,4.26
306,25-4013.00,Museum Technicians and Conservators,0.35,0,"Restore, maintain, or prepare objects in museum collections for storage, research, or exhibit. May work with specimens such as fossils, skeletal parts, or botanicals; or artifacts, textiles, or art. May identify and record objects or install and arrange them in exhibits. Includes book or document conservators.",3.46,3.38,3.12,3,3.17,3.75,4.03,4.16
307,25-4022.00,Librarians and Media Collections Specialists,0.51,1,"Administer and maintain libraries or collections of information, for public or private access through reference or borrowing. Work in a variety of settings, such as educational institutions, museums, and corporations, and with various types of informational materials, such as books, periodicals, recordings, films, and databases. Tasks may include acquiring, cataloging, and circulating library materials, and user services such as locating and organizing information, providing instruction on how to access information, and setting up and operating a library's media equipment.",3.49,3.69,3.5,3.06,3.64,4.21,3.97,3.96
308,25-4031.00,Library Technicians,0.11,0,"Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books or other media; remove or repair damaged books or other media; register patrons; and check materials in and out of the circulation process. Replace materials in shelving area (stacks) or files. Includes bookmobile drivers who assist with providing services in mobile libraries.",2.73,3.25,2.88,2,2.6,2.82,3.46,3.74
309,25-9021.00,Farm and Home Management Educators,0.91,1,"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development.",4.09,4.12,4.5,3.88,4.13,5.13,3.9,4.14
310,25-9031.00,Instructional Coordinators,0.84,1,"Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.",3.87,4.12,4.12,3.88,4.71,5.14,4.24,4.12
311,25-9044.00,"Teaching Assistants, Postsecondary",0.26,0,"Assist faculty or other instructional staff in postsecondary institutions by performing instructional support activities, such as developing teaching materials, leading discussion groups, preparing and giving examinations, and grading examinations or papers.",3.25,3.38,3.12,3.12,3.41,3.75,3.56,3.62
312,27-1011.00,Art Directors,0.74,1,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design.",3.95,4,3.75,3.62,4.14,4.98,4.44,3.8
313,27-1012.00,Craft Artists,0.21,0,"Create or reproduce handmade objects for sale and exhibition using a variety of techniques, such as welding, weaving, pottery, and needlecraft.",3.18,3.12,2.62,2.88,2.34,4.13,4.24,3.6
314,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.3,0,Create original artwork using any of a wide variety of media and techniques.,3.43,3.25,3.38,2.88,2.25,3.63,4,3.61
315,27-1014.00,Special Effects Artists and Animators,0.54,1,"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials.",3.66,3.75,3.38,3.25,3.16,4.13,3.55,3.35
316,27-1021.00,Commercial and Industrial Designers,0.77,1,"Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.",4.07,4,4,3.88,3.32,3.75,3.94,4.16
317,27-1022.00,Fashion Designers,0.6,1,Design clothing and accessories. Create original designs or adapt fashion trends.,3.65,3.62,3.38,3.38,4.21,5.58,4.69,3.89
