,O*NET-SOC Code,Title,Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
110,43-3021.00,Billing and Posting Clerks,NaN,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",2.77,3.12,2.63,2.56,3.88,2.83,3.34,3.65
111,25-2057.00,"Special Education Teachers, Middle School",NaN,"Teach academic, social, and life skills to middle school students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.",3.75,3.88,3.88,3.12,4.29,4.71,4.18,4.31
112,51-5113.00,Print Binding and Finishing Workers,NaN,Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.,2.84,3.0,2.38,2.88,3.12,3.09,3.01,3.2
113,39-5094.00,Skincare Specialists,NaN,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.,2.97,3.0,2.88,2.88,2.25,3.17,3.86,3.24
114,51-8013.00,Power Plant Operators,NaN,"Control, operate, or maintain machinery to generate electric power. Includes auxiliary equipment operators.",3.18,3.62,3.0,3.0,3.67,3.44,3.11,3.46
115,43-6012.00,Legal Secretaries and Administrative Assistants,NaN,"Perform secretarial duties using legal terminology, procedures, and documents. Prepare legal papers and correspondence, such as summonses, complaints, motions, and subpoenas. May also assist with legal research.",2.84,3.12,2.75,2.62,3.21,3.24,3.07,3.81
116,49-3092.00,Recreational Vehicle Service Technicians,NaN,"Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers. May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components. Includes workers who perform customized van conversions.",3.09,3.5,3.12,2.88,3.19,3.48,3.35,3.6
117,33-3021.06,Intelligence Analysts,NaN,"Gather, analyze, or evaluate information from a variety of sources, such as law enforcement databases, surveillance, intelligence networks or geographic information systems. Use intelligence data to anticipate and prevent organized crime activities, such as terrorism.",4.07,4.25,3.5,3.88,5.23,5.17,3.74,4.87
118,29-1151.00,Nurse Anesthetists,NaN,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education.",4.02,4.0,4.0,4.25,5.19,5.07,3.52,4.67
119,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,NaN,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,4.18,4.25,3.88,4.12,4.53,4.87,3.5,4.36
120,19-3032.00,Industrial-Organizational Psychologists,NaN,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.",4.09,4.25,4.12,4.0,5.08,4.95,4.2,4.77
121,51-8013.04,Hydroelectric Plant Technicians,NaN,"Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.",3.36,3.25,3.12,3.12,3.88,4.38,3.74,3.94
122,21-1021.00,"Child, Family, and School Social Workers",NaN,"Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers.",3.65,4.25,3.75,3.5,3.6,4.25,3.29,3.53
123,49-9099.01,Geothermal Technicians,NaN,"Perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources. Monitor and control operating activities at geothermal power generation facilities and perform maintenance and repairs as necessary. Install, test, and maintain residential and commercial geothermal heat pumps.",3.2,3.12,3.0,2.88,3.43,4.05,3.31,4.4
124,43-5071.00,"Shipping, Receiving, and Inventory Clerks",NaN,Verify and maintain records on incoming and outgoing shipments involving inventory. Duties include verifying and recording incoming merchandise or material and arranging for the transportation of products. May prepare items for shipment.,2.71,3.0,2.12,2.25,2.55,3.3,3.23,3.59
125,47-2141.00,"Painters, Construction and Maintenance",NaN,"Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency.",2.54,3.0,2.25,2.12,2.76,3.34,3.85,3.65
126,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,NaN,"Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines. Includes mechanics working primarily with automobile or marine diesel engines.",3.0,3.25,3.0,3.0,3.34,3.57,3.67,3.99
127,53-7065.00,Stockers and Order Fillers,NaN,"Receive, store, and issue merchandise, materials, equipment, and other items from stockroom, warehouse, or storage yard to fill shelves, racks, tables, or customers' orders. May operate power equipment to fill orders. May mark prices on merchandise and set up sales displays.",2.33,2.62,2.12,2.09,2.27,2.46,2.71,2.72
128,43-4051.00,Customer Service Representatives,NaN,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support.",2.95,3.25,2.88,3.0,3.44,3.66,3.02,3.61
129,29-9093.00,Surgical Assistants,NaN,"Assist in operations, under the supervision of surgeons. May, in accordance with state laws, help surgeons to make incisions and close surgical sites, manipulate or remove tissues, implant surgical devices or drains, suction the surgical site, place catheters, clamp or cauterize vessels or tissue, and apply dressings to surgical site.",3.32,3.5,3.12,3.12,4.3,4.24,3.68,4.1
130,11-9111.00,Medical and Health Services Managers,NaN,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",3.73,4.0,4.0,3.38,5.11,5.12,3.88,4.19
131,11-9071.00,Gambling Managers,NaN,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",3.52,4.0,3.62,3.25,4.19,4.27,3.71,3.77
132,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",NaN,Advise and assist students and provide educational and vocational guidance services.,3.8,4.0,3.88,3.75,4.25,5.16,3.84,4.1
133,29-1211.00,Anesthesiologists,NaN,"Administer anesthetics and analgesics for pain management prior to, during, or after surgery.",4.09,4.38,4.12,4.0,5.36,4.94,3.34,4.29
134,39-4021.00,Funeral Attendants,NaN,"Perform a variety of tasks during funeral, such as placing casket in parlor or chapel prior to service, arranging floral offerings or lights around casket, directing or escorting mourners, closing casket, and issuing and storing funeral equipment.",2.21,2.75,1.5,2.0,3.74,4.05,2.79,3.0
135,51-9141.00,Semiconductor Processing Technicians,NaN,"Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties.",2.81,2.88,2.25,2.75,3.52,3.56,3.29,3.17
136,15-1299.01,Web Administrators,NaN,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.",3.61,4.12,3.75,3.88,4.05,4.77,4.0,4.5
137,13-1199.04,Business Continuity Planners,NaN,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",4.09,4.5,3.75,4.75,4.37,4.75,3.36,4.09
138,53-5022.00,Motorboat Operators,NaN,Operate small motor-driven boats. May assist in navigational activities.,2.86,3.38,2.75,3.0,2.95,3.21,3.93,3.75
139,13-2031.00,Budget Analysts,NaN,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",3.57,3.88,3.38,3.5,4.47,3.86,3.02,4.59
140,29-1051.00,Pharmacists,NaN,"Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use. May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications.",3.8,4.38,3.88,3.5,4.83,4.12,2.85,3.7
141,39-1013.00,First-Line Supervisors of Gambling Services Workers,NaN,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos.",2.94,3.81,2.88,2.94,3.17,3.06,2.72,3.2
142,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",NaN,"Directly supervise and coordinate the activities of agricultural, forestry, aquacultural, and related workers.",3.32,3.59,3.31,3.28,3.66,3.95,3.39,3.66
143,19-2031.00,Chemists,NaN,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,4.11,4.12,4.12,4.0,4.71,4.2,3.54,4.4
144,25-2011.00,"Preschool Teachers, Except Special Education",NaN,"Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.",3.2,3.12,3.0,3.0,2.03,3.01,4.12,3.61
145,49-2098.00,Security and Fire Alarm Systems Installers,NaN,"Install, program, maintain, and repair security and fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes.",2.96,3.5,3.0,3.0,3.1,3.29,3.8,3.71
146,11-2022.00,Sales Managers,NaN,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",3.84,4.0,3.88,3.88,4.03,5.07,4.13,4.14
147,13-1031.00,"Claims Adjusters, Examiners, and Investigators",NaN,Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,3.33,4.0,3.31,3.06,4.52,3.99,3.68,4.29
148,47-5043.00,"Roof Bolters, Mining",NaN,Operate machinery to install roof support bolts in underground mine.,2.75,3.0,2.88,2.38,3.6,3.31,3.09,3.13
149,45-4022.00,Logging Equipment Operators,NaN,"Drive logging tractor or wheeled vehicle equipped with one or more accessories, such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree; to skid, load, unload, or stack logs; or to pull stumps or clear brush. Includes operating stand-alone logging machines, such as log chippers.",2.59,2.75,2.12,2.12,3.34,3.66,3.2,3.27
